Parameter,Standard Deviation
hElevation,415.8429839629397
cLeakage,2.7089446094213927e-05
hRf,0.0010835778437685568
lambdaShScrPer,
rhoAir,0.06184854843025399
capAir,389.6458551106006
capTop,37.4183718003037
pressure,5353.445683234967
tSpDay,0.6893819875457112
tSpNight,0.6893819875457112
lampsOffSun,47.291214194728056
lampRadSumLimit,0.945824283894561
thetaLampMax,33.831136947074846
heatCorrection,0.4578952124952739
etaLampPar,0.09405303581288645
etaLampNir,0.10049383016379712
tauLampPar,0.00541788921884279
tauLampNir,0.00541788921884279
tauLampFir,0.00541788921884279
aLamp,0.005417889218842785
epsLampTop,0.39192593763880873
epsLampBottom,0.01004938301637972
capLamp,50.37562747910743
cHecLampAir,1.225199813140688
zetaLampPar,0.2562592669176825
